fold,precision,recall
0,0.9990280109569674,0.040565389535019314
1,0.9996736055704649,0.0989026168918422
2,0.9993627252187011,0.1856792001621778
3,0.8983589885822586,0.34865242577712235
4,0.9965897550392988,0.4524510050161104
