fold,precision,recall
0,0.9886477919110489,0.8817895271258169
1,0.980584699503019,0.7773157259287032
2,0.9626088247545128,0.8374777768010434
3,0.9894485596363477,0.8485600340145207
4,0.978594271724571,0.8218078808189392
