scenario,representation,M,avg_precision,avg_recall,avg_f1
2,raw,466,1.0,0.9983563355079829,0.9991774804882149
2,re5,386,0.9861981818583528,0.8705699319478097,0.9243882420657977
2,re10,386,0.9916427345738347,0.9002574810204611,0.9434936773965236
2,re15,386,0.9778553399519138,0.8755594854749487,0.9234239428581746
3,raw,466,1.000000,0.9690872891441451,0.98418727928201
3,re5,386,0.6450287262783673,0.3681038268744416,0.4602854240292233
3,re10,386,0.3154284148937782,0.6158392434988179,0.3777009718766262
3,re15,386,0.6504613999549854,0.2715764276422072,0.3383511362114066
